Check All,ID,code,name,meta-infomation-based subspecies,SNP-based subspecies,SNP-based subgroup,country,region,sequencing depth,mapping depth,mapping coverage
,763,IRIS_313-10542,BELLO,IND,IND,IG5,India,SAS,17.82,17.2,89.2
,764,IRIS_313-10543,DODGUI,AUS,AUS,AUSG6,India,SAS,10.96,10.41,87.44
,765,IRIS_313-10544,DONGREM,IND,IND,IG5,India,SAS,17.88,17.31,90.88
,766,IRIS_313-10545,KARIA,AUS,AUS,AUSG6,na,na,5.85,5.7,83.32
,767,IRIS_313-10547,C 34-13,IND,IND,IG5,Myanmar,SEA,15.8,15.32,90.87
,768,IRIS_313-10549,RATUA 81,AUS,AUS,AUSG6,Pakistan,SAS,12.72,12.41,88.22
,769,IRIS_313-10550,221 BC4-1-45-10,IND,IND,IG2,Indonesia,SEA,15.87,12.48,86.56
,770,IRIS_313-10552,RL GOPHER,TROP,JAP,JG9,United_States,AME,10.39,10.19,93.65
,771,IRIS_313-10554,BONG SEN,IND,IND,IG2,Vietnam,SEA,11.4,8.96,84.61
,772,IRIS_313-10555,LUA HUONG T 1,IND,IND,IG2,Vietnam,SEA,10.7,8.37,84.5
,773,IRIS_313-10556,LUA DEN MUA,IND,IND,IG2,Vietnam,SEA,12.33,9.65,84.65
,774,IRIS_313-10557,KONG MARETH 4 T1,IND,IND,IG2,Cambodia,SEA,12.93,10.11,84.85
,775,IRIS_313-10558,LITCHIKIANG,TEMP,JAP,JG7,China,EAS,9.58,9.43,94.67
,776,IRIS_313-10559,FI-LAI-FENG,TEMP,JAP,JG7,China,EAS,11.09,10.82,94.85
,777,IRIS_313-10560,TA-PAI-MAUNG,IND,IND,IG4,China,EAS,16.61,13.04,85.7
,778,IRIS_313-10561,NAN-TEO 14,IND,IND,IG4,China,EAS,15.2,11.76,86.15
,779,IRIS_313-10562,SENG-CHUI-LIN,JAP,ADM,Adm,China,EAS,14.11,13.87,93.76
,780,IRIS_313-10563,SHA-TIAO-TSAO,TEMP,JAP,JG7,na,na,19.53,19.27,95.73
,781,IRIS_313-10564,250 KUNGANI 1,TEMP,JAP,JG7,Japan,EAS,18.35,18.01,97.52
,782,IRIS_313-10565,221 B-36-1-1-1-1,IND,IND,IG2,Indonesia,SEA,8.73,6.78,84.23
,783,IRIS_313-10566,221 C-391-1-3-3,IND,IND,IG2,Indonesia,SEA,12.09,8.86,85.38
,784,IRIS_313-10567,AIKAWA 44,TEMP,JAP,JG7,Japan,EAS,14.13,14.01,97.42
,785,IRIS_313-10568,OITA-MII 120,TEMP,JAP,JG7,Japan,EAS,10.45,10.38,96.81
,786,IRIS_313-10569,BEN-KEI,TEMP,JAP,JG7,Japan,EAS,10.04,9.97,96.86
,787,IRIS_313-10570,CHUSEI HONEN,TEMP,JAP,JG7,Japan,EAS,16.8,16.66,97.31
,788,IRIS_313-10572,KOTHMALLI KARUPPAN,IND,IND,IG4,Nigeria,AFR,11.55,9.44,82.09
,789,IRIS_313-10573,SOSSOKA OULE,IND,IND,IG3,Mali,AFR,13.45,11.04,82.17
,790,IRIS_313-10574,KAILUNDO,IND,IND,IG3,Sierra_Leone,AFR,12.68,10.37,81.65
,791,IRIS_313-10575,KAYANGYA D 402,IND,IND,IG4,Myanmar,SEA,11.63,9.47,80.49
,792,IRIS_313-10576,BAANYALOJOPOIHUN,IND,IND,IG5,Sierra_Leone,AFR,23.58,22.65,91.98
,793,IRIS_313-10577,IFUGAO RICE,TROP,JAP,JG9,Philippines,SEA,28.97,25.45,95.35
,794,IRIS_313-10578,PARAY QIKUG KABAYUH,TROP,JAP,JG9,Philippines,SEA,20.31,19.58,94.46
,795,IRIS_313-10580,PARAY KINARABAW,TROP,JAP,JG9,Philippines,SEA,12.08,11.91,92.03
,796,IRIS_313-10581,P-PEY SIQAT,TROP,JAP,JG9,Philippines,SEA,6.13,5.85,85.11
,797,IRIS_313-10582,QINOGNAS,TROP,JAP,JG9,Philippines,SEA,29.61,28.9,95.31
,798,IRIS_313-10583,TSAO-SIAO-PEH-TAO,TEMP,JAP,JG7,China,EAS,7.52,7.43,89.68
,799,IRIS_313-10585,UKON-NISHIKI,ADM,ADM,Adm,Japan,EAS,13.02,12.65,91.35
,800,IRIS_313-10587,DB3,AUS,AUS,AUSG6,Bangladesh,SAS,12.17,11.8,88.49
,801,IRIS_313-10592,DJ69,AUS,AUS,AUSG6,Bangladesh,SAS,12.32,11.92,87.23
,802,IRIS_313-10593,DJ47,AUS,AUS,AUSG6,Bangladesh,SAS,10.23,9.84,84.95
,803,IRIS_313-10594,DJ29,AUS,AUS,AUSG6,Bangladesh,SAS,9.33,9.08,86.55
,804,IRIS_313-10595,DL 5,AUS,AUS,AUSG6,Bangladesh,SAS,10.88,10.6,85.43
,805,IRIS_313-10598,DD126,AUS,AUS,AUSG6,Bangladesh,SAS,13.91,13.27,88.73
,806,IRIS_313-10600,UCP41,AUS,AUS,AUSG6,Bangladesh,SAS,9.51,9.2,85.43
,807,IRIS_313-10602,DM49,AUS,AUS,AUSG6,Bangladesh,SAS,20.44,19.23,89.78
,808,IRIS_313-10603,UCP122,AUS,AUS,AUSG6,Bangladesh,SAS,27.48,26.68,92.14
,809,IRIS_313-10604,DV2,AUS,AUS,AUSG6,Bangladesh,SAS,12.39,11.87,87.59
,810,IRIS_313-10605,DV86,AUS,AUS,AUSG6,Bangladesh,SAS,23.19,22.56,91.45
,811,IRIS_313-10606,DV110,AUS,AUS,AUSG6,Bangladesh,SAS,8.96,8.69,84.96
,812,IRIS_313-10608,T 21,AUS,AUS,AUSG6,India,SAS,13.23,12.93,88.77
,813,IRIS_313-10609,MATHOLUWA,IND,IND,IG5,Sri_Lanka,SAS,30.6,29.32,92.16
,814,IRIS_313-10610,ALAGUSAMBA,IND,IND,IG5,Sri_Lanka,SAS,13.53,13.09,90.37
,815,IRIS_313-10614,HAM MOON,IND,IND,IG2,Hong_Kong,EAS,23.77,18.53,84.87
,816,IRIS_313-10617,KARA SHALI,TEMP,JAP,JG7,na,na,17.17,16.89,95.31
,817,IRIS_313-10618,CHINES,TEMP,JAP,JG7,na,na,14.0,13.86,97.1
,818,IRIS_313-10619,BICCO BRANCO,TROP,JAP,JG9,na,na,11.37,11.14,93.72
,819,IRIS_313-10620,R 27,TROP,JAP,JG9,Brazil,AME,13.75,12.88,93.88
,820,IRIS_313-10623,SIDALI,AUS,AUS,AUSG6,Nepal,SAS,15.94,15.12,90.55
,821,IRIS_313-10628,,IND,IND,IG5,India,SAS,17.91,17.37,91.23
,822,IRIS_313-10631,SHINCHIKU-IKU 97,TEMP,JAP,JG7,Taiwan,EAS,10.98,10.78,96.33
,823,IRIS_313-10640,SR26 B,IND,IND,IG5,India,SAS,10.82,10.49,89.37
,824,IRIS_313-10642,SACHIKAZE,TEMP,JAP,JG7,Japan,EAS,22.99,22.75,97.4
,825,IRIS_313-10644,BUSIYETAN,TROP,JAP,JG9,Philippines,SEA,12.94,12.54,94.19
,826,IRIS_313-10645,LENKIBE-N,TROP,JAP,JG9,Philippines,SEA,12.79,12.39,94.06
,827,IRIS_313-10648,PREAH SIHANOUK,IND,IND,IG2,Cambodia,SEA,12.61,10.06,85.13
,828,IRIS_313-10649,RACION 1,JAP,JAP,JG10,Philippines,SEA,14.28,14.05,94.05
,829,IRIS_313-10650,NAHNG PRAYAH 132,IND,IND,IG3,Thailand,SEA,14.18,11.38,86.72
,830,IRIS_313-10651,Phou sao leum nyang,IND,IND,IG4,Laos,SEA,14.24,11.43,85.55
,831,IRIS_313-10652,Chao peuak deng,IND,IND,IG2,Laos,SEA,17.8,14.15,86.37
,832,IRIS_313-10653,Mak kheua,TROP,JAP,JG8,Laos,SEA,13.06,12.22,94.18
,833,IRIS_313-10654,Ka saen,IND,IND,IG2,Laos,SEA,15.59,12.44,85.59
,834,IRIS_313-10655,Ea houm,IND,IND,IG2,Laos,SEA,13.51,10.73,85.46
,835,IRIS_313-10656,Nok kod,TROP,JAP,JG8,Laos,SEA,14.41,13.22,94.41
,836,IRIS_313-10657,THANGONE,TROP,JAP,JG8,Laos,SEA,20.47,19.96,94.86
,837,IRIS_313-10659,LONG MA,IND,IND,IG2,Laos,SEA,12.51,9.86,85.05
,838,IRIS_313-10660,Lep hed,TROP,JAP,JG8,Laos,SEA,8.0,7.68,92.92
,839,IRIS_313-10661,SAMBA,IND,IND,IG5,Sri_Lanka,SAS,10.53,10.23,89.52
,840,IRIS_313-10662,KAHATAWEE,IND,IND,IG5,Sri_Lanka,SAS,9.67,9.35,89.48
,841,IRIS_313-10664,ARC 6052,IND,IND,IG5,India,SAS,19.4,18.74,91.36
,842,IRIS_313-10666,ARC 6218,IND,IND,IG4,India,SAS,19.88,15.88,86.77
,843,IRIS_313-10667,ARC 7236,IND,IND,IG5,India,SAS,12.4,11.94,90.68
,844,IRIS_313-10668,ARC 7255,IND,IND,IG5,India,SAS,13.78,12.79,90.42
,845,IRIS_313-10670,ARC 10296,ARO,ARO,AROG11,India,SAS,11.24,10.92,92.32
,846,IRIS_313-10671,ARC 10581,IND,AUS,AUSG6,India,SAS,15.31,14.71,91.22
,847,IRIS_313-10673,ARC 10843,AUS,AUS,AUSG6,India,SAS,9.45,9.05,89.41
,848,IRIS_313-10674,ARC 10846,IND,IND,IG5,India,SAS,12.94,12.6,90.7
,849,IRIS_313-10675,ARC 10905,IND,AUS,AUSG6,India,SAS,15.78,15.08,90.84
,850,IRIS_313-10676,ARC 10916,IND,AUS,AUSG6,India,SAS,12.46,11.69,90.23
,851,IRIS_313-10677,DEWAMINORI,TEMP,JAP,JG7,Japan,EAS,16.49,16.35,97.5
,852,IRIS_313-10678,MAKALIOKA,IND,ADM,Adm,Madagascar,AFR,11.37,10.83,89.92
,853,IRIS_313-10679,Khai do,TROP,JAP,JG8,Laos,SEA,11.65,11.12,94.25
,854,IRIS_313-10680,Mak nam,IND,IND,IG2,Laos,SEA,9.67,7.72,84.0
,855,IRIS_313-10681,Khan thai do,IND,IND,IG2,Laos,SEA,13.8,11.25,84.81
,856,IRIS_313-10682,PA KHENG,IND,IND,IG2,Laos,SEA,19.64,15.77,86.43
,857,IRIS_313-10683,Ngan tia,IND,IND,IG2,Laos,SEA,13.66,10.93,85.37
,858,IRIS_313-10684,BONGOLON,IND,IND,IG3,Malaysia,SEA,8.3,6.41,82.55
,859,IRIS_313-10687,PADI PULUT,IND,IND,IG3,Malaysia,SEA,21.39,17.15,86.54
,860,IRIS_313-10688,PADI TIMBUN,IND,IND,IG3,Malaysia,SEA,15.86,12.51,86.32
,861,IRIS_313-10689,SIKEP BATU,JAP,JAP,JG10,Indonesia,SEA,11.06,10.75,93.24
,862,IRIS_313-10690,LARONDJAWI,IND,IND,IG4,Indonesia,SEA,11.98,9.6,87.6
,863,IRIS_313-10692,RANDAH SASAK,IND,IND,IG3,Indonesia,SEA,12.38,8.97,85.19
,864,IRIS_313-10693,SEREH,JAP,JAP,JG10,Indonesia,SEA,15.59,15.31,94.13
,865,IRIS_313-10694,HAJI HARUN 38,IND,IND,IG2,Malaysia,SEA,9.75,7.52,80.85
,866,IRIS_313-10695,TOLIL 14,IND,IND,IG2,Malaysia,SEA,10.73,8.46,84.99
,867,IRIS_313-10697,SIAM ER 16,IND,IND,IG3,Malaysia,SEA,17.13,13.61,86.58
,868,IRIS_313-10698,RADIN GOI,IND,IND,IG3,Malaysia,SEA,11.65,9.34,84.68
,869,IRIS_313-10699,BUJANG,IND,IND,IG3,Malaysia,SEA,12.84,10.25,85.07
,870,IRIS_313-10700,CHANTEK 145,IND,IND,IG3,Malaysia,SEA,8.74,7.03,83.75
,871,IRIS_313-10701,RADIN EBOS 35,IND,IND,IG3,Malaysia,SEA,8.99,7.23,84.06
,872,IRIS_313-10702,JAROM EMAS,IND,IND,IG3,Malaysia,SEA,12.63,10.13,85.16
,873,IRIS_313-10703,PADI ADONG DUMARAT,TROP,JAP,JG9,Malaysia,SEA,15.17,14.89,94.24
,874,IRIS_313-10704,PADI DARAWAL,TROP,JAP,JG9,Malaysia,SEA,10.68,10.51,93.84
,875,IRIS_313-10705,PADI PULOT MELAYANG,ADM,IND,IG1,Malaysia,SEA,13.4,13.05,94.17
,876,IRIS_313-10706,ANAK CHINA,IND,IND,IG3,Malaysia,SEA,22.26,17.94,86.96
,877,IRIS_313-10707,ANAK DIDEK,IND,IND,IG3,Malaysia,SEA,15.09,12.1,85.62
,878,IRIS_313-10708,B 6311 A 5553-16-2,TROP,JAP,JG10,United_States,AME,14.53,14.13,94.54
,879,IRIS_313-10710,PINDE GOGO WIERIE,TROP,JAP,JG9,Surinam,AME,15.19,14.88,94.66
,880,IRIS_313-10711,7 AC,TROP,JAP,JG9,Liberia,AFR,11.66,11.35,90.31
,881,IRIS_313-10712,KOTO OURA S 5,TROP,JAP,JG9,Ivory_Coast,AFR,15.45,15.2,93.02
,882,IRIS_313-10715,SUDU KARAYAL,IND,IND,IG5,Sri_Lanka,SAS,12.52,12.19,90.25
,883,IRIS_313-10716,MURUNGA,IND,IND,IG5,Sri_Lanka,SAS,11.38,10.98,90.08
,884,IRIS_313-10717,PERIYA VELLAI,IND,IND,IG5,Sri_Lanka,SAS,13.54,12.88,90.46
,885,IRIS_313-10718,KARUTHA SEENATI,AUS,AUS,AUSG6,Sri_Lanka,SAS,21.38,19.95,90.39
,886,IRIS_313-10719,VELLAI KOLOMBAN,IND,IND,IG5,Sri_Lanka,SAS,13.64,12.35,90.8
,887,IRIS_313-10720,HEENDIKWEE,IND,IND,IG1,Sri_Lanka,SAS,5.06,4.9,86.24
,888,IRIS_313-10721,HALSUDU HEENATI,IND,IND,IG5,Sri_Lanka,SAS,14.79,14.26,89.21
,889,IRIS_313-10722,GODAWEL,TROP,JAP,JG9,Sri_Lanka,SAS,9.74,9.25,93.34
,890,IRIS_313-10723,MOND-BA,IND,IND,IG3,Senegal,AFR,15.93,12.13,83.47
,891,IRIS_313-10724,MOUSOIR,IND,IND,IG3,Senegal,AFR,12.78,9.63,85.51
,892,IRIS_313-10725,ERNEST,IND,IND,IG3,Senegal,AFR,24.25,18.24,87.66
,893,IRIS_313-10726,POTO BALA,IND,IND,IG3,Senegal,AFR,22.42,17.32,87.15
,894,IRIS_313-10727,KOUPENEDOU KOUBOURY,IND,IND,IG3,Senegal,AFR,20.35,15.87,85.3
,895,IRIS_313-10728,OUSSANTHIABA,IND,IND,IG3,Senegal,AFR,16.53,12.65,85.88
,896,IRIS_313-10730,NANIBRE,TROP,JAP,JG9,Ivory_Coast,AFR,11.1,10.46,93.85
,897,IRIS_313-10731,BARKHE TAULI,IND,IND,IG4,Nepal,SAS,12.81,9.89,83.69
,898,IRIS_313-10732,MADHUWA KARIA,ARO,ARO,AROG11,Nepal,SAS,12.1,11.72,92.42
,899,IRIS_313-10733,MOTANGE PAHELLO LAULE,IND,IND,IG4,Nepal,SAS,15.04,11.52,85.73
,900,IRIS_313-10734,DEVARASI,AUS,AUS,AUSG6,Nepal,SAS,10.24,9.66,90.31
,901,IRIS_313-10735,LAL SAR,AUS,AUS,AUSG6,Nepal,SAS,12.14,11.36,90.89
,902,IRIS_313-10736,RERM BILASH,AUS,AUS,AUSG6,Nepal,SAS,12.95,12.44,91.14
,903,IRIS_313-10737,GHAIYA,AUS,AUS,AUSG6,Nepal,SAS,11.77,11.3,90.98
,904,IRIS_313-10738,ANDEL WELUT,ADM,ADM,Adm,Indonesia,SEA,12.46,11.83,93.29
,905,IRIS_313-10739,GOGO,ADM,IND,IG1,Indonesia,SEA,12.44,10.93,92.32
,906,IRIS_313-10740,KETAN PAPAH AREN,JAP,JAP,JG10,Indonesia,SEA,14.39,13.61,93.8
,907,IRIS_313-10741,KETAN PELERN,JAP,JAP,JG10,Indonesia,SEA,11.92,11.37,93.61
,908,IRIS_313-10742,MAMAS,IND,IND,IG3,Indonesia,SEA,10.17,7.8,85.3
,909,IRIS_313-10743,SERAJU,TROP,JAP,JG9,Indonesia,SEA,12.09,11.8,94.05
,910,IRIS_313-10744,SIPON,JAP,JAP,JG10,Indonesia,SEA,17.25,16.49,94.16
,911,IRIS_313-10745,SLOBOK,JAP,JAP,JG10,Indonesia,SEA,8.71,8.35,91.73
,912,IRIS_313-10746,TJEMPO KREMBUNG,JAP,JAP,JG10,Indonesia,SEA,9.63,8.83,92.79
,913,IRIS_313-10747,TJOKRON,TROP,JAP,JG9,Indonesia,SEA,12.01,11.34,93.92
,914,IRIS_313-10748,LUA DUC,IND,IND,IG2,Vietnam,SEA,19.41,14.76,86.53
,915,IRIS_313-10749,MINH-SOC(CAMBODIA),IND,IND,IG2,Vietnam,SEA,12.21,9.16,85.25
,916,IRIS_313-10750,TRANG LUA,IND,IND,IG2,Vietnam,SEA,9.66,7.34,84.29
,917,IRIS_313-10751,LUA CHUM,IND,IND,IG2,Vietnam,SEA,13.72,10.66,85.27
,918,IRIS_313-10752,,TROP,JAP,JG10,United_States,AME,12.02,11.72,94.29
,919,IRIS_313-10753,ZACATEPEC,IND,IND,IG1,United_States,AME,13.05,12.69,90.57
,920,IRIS_313-10754,KH998,IND,IND,IG1,India,SAS,14.39,14.01,91.27
,921,IRIS_313-10755,NEP BA BONG TO,IND,IND,IG2,Vietnam,SEA,13.87,10.56,85.59
,922,IRIS_313-10756,DAMODAR,IND,IND,IG5,India,SAS,15.28,14.68,90.75
,923,IRIS_313-10757,PEUAK NAM 43,IND,IND,IG3,Thailand,SEA,11.4,8.72,85.17
,924,IRIS_313-10758,AEN METAN,TROP,JAP,JG9,Indonesia,SEA,12.52,11.99,93.81
,925,IRIS_313-10759,ANDEL,JAP,JAP,JG10,Indonesia,SEA,11.11,10.37,93.3
,926,IRIS_313-10760,ATJEH,IND,IND,IG3,Indonesia,SEA,14.11,10.57,85.62
,927,IRIS_313-10761,BALIK SEMAH,JAP,JAP,JG10,Indonesia,SEA,12.2,11.83,93.9
,928,IRIS_313-10762,BANDI,IND,IND,IG3,Indonesia,SEA,20.14,15.46,86.6
,929,IRIS_313-10765,CERE KAWAT,JAP,JAP,JG10,Indonesia,SEA,14.34,13.37,93.75
,930,IRIS_313-10766,DJALAWARA,JAP,JAP,JG10,Indonesia,SEA,13.58,13.35,94.67
,931,IRIS_313-10767,DJANGGOT,JAP,JAP,JG10,Indonesia,SEA,12.51,11.98,93.8
,932,IRIS_313-10768,GADABUNG(GUNDIL),IND,IND,IG3,Indonesia,SEA,14.04,10.88,83.04
,933,IRIS_313-10769,GAJA BARU,IND,IND,IG2,Indonesia,SEA,12.32,9.48,86.24
,934,IRIS_313-10770,GANDAMANA,JAP,JAP,JG10,Indonesia,SEA,13.78,13.37,93.71
,935,IRIS_313-10771,GOGO RAJAPAN,ADM,ADM,Adm,Indonesia,SEA,15.33,14.61,95.81
,936,IRIS_313-10772,GOJOT,IND,IND,IG3,Indonesia,SEA,14.02,9.59,85.66
,937,IRIS_313-10773,HAWARA DJEDAH,JAP,JAP,JG10,Indonesia,SEA,8.27,8.11,92.66
,938,IRIS_313-10774,HEGAR MANAH,IND,IND,IG2,Indonesia,SEA,17.72,12.71,87.8
,939,IRIS_313-10775,INDEL,IND,IND,IG2,Indonesia,SEA,13.7,10.56,86.26
,940,IRIS_313-10776,KABADOKA,TROP,JAP,JG9,Indonesia,SEA,8.41,8.06,92.74
,941,IRIS_313-10777,KAMAS,IND,IND,IG3,Indonesia,SEA,11.21,8.64,84.99
,942,IRIS_313-10778,KENTJANA MAHANG,IND,IND,IG3,Indonesia,SEA,18.56,14.57,87.07
,943,IRIS_313-10779,KERAN DUKUH,IND,IND,IG3,Indonesia,SEA,16.07,12.4,86.01
,944,IRIS_313-10780,KETAN LALER,JAP,JAP,JG10,Indonesia,SEA,10.58,10.24,93.27
,945,IRIS_313-10781,KETAN MLANTING,JAP,JAP,JG10,Indonesia,SEA,10.88,10.64,93.27
,946,IRIS_313-10782,KETAN NARIS,IND,IND,IG3,Indonesia,SEA,12.31,9.58,84.56
,947,IRIS_313-10783,KETAN OSOG,JAP,JAP,JG10,Indonesia,SEA,12.54,12.24,93.7
,948,IRIS_313-10784,KETAN SAPI,JAP,JAP,JG10,Indonesia,SEA,12.05,11.44,93.06
,949,IRIS_313-10785,KETAN SLAWI,JAP,JAP,JG10,Indonesia,SEA,14.05,13.03,93.29
,950,IRIS_313-10786,KETAN URANG,IND,ADM,Adm,Indonesia,SEA,16.36,15.5,91.41
,951,IRIS_313-10787,KWATIK PUTIH,ADM,ADM,Adm,Indonesia,SEA,17.23,16.68,95.4
,952,IRIS_313-10788,LEMUNGSIR,JAP,JAP,JG10,Indonesia,SEA,9.75,9.56,92.94
,953,IRIS_313-10789,LENGGANG GENUK BULU,JAP,JAP,JG10,Indonesia,SEA,15.2,14.84,93.62
,954,IRIS_313-10790,LOLAWAJI,JAP,JAP,JG10,Indonesia,SEA,14.85,14.27,93.62
,955,IRIS_313-10791,MANGSUR,IND,IND,IG3,Indonesia,SEA,14.61,11.39,86.3
,956,IRIS_313-10792,MATIANG,IND,IND,IG3,Indonesia,SEA,12.08,9.48,85.08
,957,IRIS_313-10793,MELIK,TROP,JAP,JG9,Indonesia,SEA,22.02,21.23,94.57
,958,IRIS_313-10794,MENDUNGAN,TROP,JAP,JG9,Indonesia,SEA,15.56,14.66,94.06
,959,IRIS_313-10795,MLATI,TROP,JAP,JG9,Indonesia,SEA,14.06,12.08,93.81
,960,IRIS_313-10796,MOLOG,TROP,JAP,JG9,Indonesia,SEA,9.72,9.45,92.94
,961,IRIS_313-10797,NARUN,IND,IND,IG3,Indonesia,SEA,15.58,11.68,86.07
,962,IRIS_313-10798,NOGO-BELE 2,TROP,JAP,JG9,Indonesia,SEA,19.82,18.83,94.61
,963,IRIS_313-10799,PAE ONGGA,TROP,JAP,JG9,Indonesia,SEA,12.68,12.02,93.74
,964,IRIS_313-10800,PALOTAN MELATI,JAP,JAP,JG10,Indonesia,SEA,13.89,13.62,93.53
,965,IRIS_313-10801,PARE BUWUN,JAP,JAP,JG10,Indonesia,SEA,13.46,13.2,94.36
,966,IRIS_313-10802,PEUTEUJ,JAP,JAP,JG10,Indonesia,SEA,16.02,15.65,93.97
,967,IRIS_313-10803,PLAMPEYAN,JAP,JAP,JG10,Indonesia,SEA,8.41,8.25,92.59
,968,IRIS_313-10804,PUAK,IND,IND,IG3,Indonesia,SEA,12.74,10.17,85.45
,969,IRIS_313-10805,PULO,JAP,JAP,JG10,Indonesia,SEA,15.16,14.91,94.03
,970,IRIS_313-10806,RADEN DJAWA(GUNDIL),IND,IND,IG3,Indonesia,SEA,15.33,12.21,86.01
,971,IRIS_313-10807,RANDA KUNING,IND,IND,IG3,Indonesia,SEA,12.87,10.17,85.72
,972,IRIS_313-10808,RANTE,JAP,JAP,JG10,Indonesia,SEA,11.95,11.3,93.1
,973,IRIS_313-10809,SAMPANG KUNING,JAP,JAP,JG10,Indonesia,SEA,13.31,12.7,93.51
,974,IRIS_313-10810,SEGON BENGGALA,IND,IND,IG3,Indonesia,SEA,16.31,12.54,87.45
,975,IRIS_313-10811,SEMPOR,IND,IND,IG2,Indonesia,SEA,12.42,9.49,85.72
,976,IRIS_313-10812,SERUNEN,IND,IND,IG3,Indonesia,SEA,14.15,10.82,86.37
,977,IRIS_313-10813,SIAM BARABAI,IND,IND,IG3,Indonesia,SEA,18.65,15.03,86.55
,978,IRIS_313-10814,SIBORAS,IND,IND,IG3,Indonesia,SEA,22.69,18.2,87.41
,979,IRIS_313-10815,SIDJANGGUK,JAP,JAP,JG10,Indonesia,SEA,13.85,13.44,93.73
,980,IRIS_313-10816,SIDJERO GUNDIL,JAP,JAP,JG10,Indonesia,SEA,16.11,15.81,93.92
,981,IRIS_313-10817,SLAMET,JAP,JAP,JG10,Indonesia,SEA,14.83,14.3,93.66
,982,IRIS_313-10818,TJEMPO PENDEK-UNTUNG,IND,IND,IG3,Indonesia,SEA,11.42,9.16,84.74
,983,IRIS_313-10819,TJERE ENER,IND,IND,IG3,Indonesia,SEA,11.11,8.76,85.29
,984,IRIS_313-10820,TJERE MANGGA,IND,IND,IG3,Indonesia,SEA,15.16,11.69,86.92
,985,IRIS_313-10821,TJ. PERAK,IND,IND,IG3,Indonesia,SEA,9.33,7.43,83.99
,986,IRIS_313-10822,UNGGAS,IND,IND,IG3,Indonesia,SEA,15.62,12.33,85.87
,987,IRIS_313-10823,UTRI DELI,IND,IND,IG3,Indonesia,SEA,9.54,7.32,84.08
,988,IRIS_313-10824,HOING CANTEL,IND,IND,IG3,Indonesia,SEA,18.28,14.23,86.56
,989,IRIS_313-10825,KEMA 5,IND,IND,IG4,na,na,20.02,15.24,88.15
,990,IRIS_313-10827,BINARITOS,TROP,JAP,JG9,Philippines,SEA,16.19,15.72,94.16
,991,IRIS_313-10828,IKOGAN,TROP,JAP,JG9,Philippines,SEA,14.34,14.11,93.77
,992,IRIS_313-10829,INAMBOG,TROP,JAP,JG9,Philippines,SEA,10.94,10.65,93.1
,993,IRIS_313-10830,INAPORAONAN,TROP,JAP,JG9,Philippines,SEA,10.27,9.81,93.1
,994,IRIS_313-10831,MALANDI 2,TROP,JAP,JG9,Philippines,SEA,14.59,13.5,93.65
,995,IRIS_313-10832,MALASAY,TROP,JAP,JG9,Philippines,SEA,12.04,11.8,93.66
,996,IRIS_313-10833,EDAKKADAN 0-69-27,IND,IND,IG5,India,SAS,10.36,9.99,89.14
,997,IRIS_313-10834,IARI 11387,TROP,JAP,JG8,India,SAS,16.71,16.46,94.55
,998,IRIS_313-10835,PERUNEL 0-69-18,IND,IND,IG5,India,SAS,15.93,15.4,90.79
,999,IRIS_313-10836,VELLA PERUVAZHA 0-68-12,IND,IND,IG5,India,SAS,12.5,11.72,89.73
,1000,IRIS_313-10837,BACK KYUNG ZO,TEMP,JAP,JG7,South_Korea,EAS,11.4,10.85,95.42
,1001,IRIS_313-10838,SSAL BYEO,TEMP,JAP,JG7,South_Korea,EAS,10.45,10.28,95.28
,1002,IRIS_313-10839,TAE GU NA,TEMP,JAP,JG7,South_Korea,EAS,13.41,13.28,96.73
,1003,IRIS_313-10840,YE ZO,TEMP,JAP,JG7,South_Korea,EAS,17.73,17.28,96.4
,1004,IRIS_313-10841,KETAN NANGKA,JAP,JAP,JG10,Indonesia,SEA,11.71,11.48,93.87
,1005,IRIS_313-10842,LUBUK LINGGAU,IND,IND,IG3,Indonesia,SEA,12.91,10.05,84.76
,1006,IRIS_313-10844,,IND,IND,IG3,Indonesia,SEA,10.66,8.06,83.42
,1007,IRIS_313-10845,ARC 5756,AUS,AUS,AUSG6,India,SAS,15.82,15.38,90.59
,1008,IRIS_313-10847,ARC 6015,IND,IND,IG5,India,SAS,20.85,19.95,91.21
,1009,IRIS_313-10848,ARC 6188,TROP,JAP,JG8,India,SAS,10.0,9.76,93.2
,1010,IRIS_313-10849,ARC 7001,AUS,AUS,AUSG6,India,SAS,9.73,9.2,88.66
,1011,IRIS_313-10850,ARC 7263,ADM,ADM,Adm,India,SAS,30.71,28.2,96.75
,1012,IRIS_313-10851,ARC 7296,ARO,ARO,AROG11,India,SAS,24.71,23.91,94.73
,1013,IRIS_313-10852,ARC 7336,AUS,AUS,AUSG6,India,SAS,33.71,32.84,92.59
,1014,IRIS_313-10853,ARC 10028,TROP,JAP,JG8,India,SAS,10.47,10.29,93.16
,1015,IRIS_313-10854,ARC 10145,AUS,AUS,AUSG6,India,SAS,9.8,9.36,89.08
,1016,IRIS_313-10855,ARC 10159,IND,IND,IG5,India,SAS,9.77,9.49,88.54
,1017,IRIS_313-10856,ARC 10537,IND,AUS,AUSG6,India,SAS,9.72,9.49,90.65
,1018,IRIS_313-10857,ARC 10825,IND,AUS,AUSG6,India,SAS,30.42,29.29,92.35
,1019,IRIS_313-10858,ARC 10894,IND,AUS,AUSG6,India,SAS,38.14,37.1,92.82
