,CUDI_REPRO,CULT_REPRO,CUNO_REPRO,GRLT,GRWD,GRWT100,HDG_80HEAD,LIGLT,LLT,LWD,PLT_POST,SDHT,country,region,subespecie
IRIS_313.9590,5.0,128.0,20.0,8.4,2.8,2.0,100.0,20.0,70.0,1.5,25.0,36.0,Indonesia,SEA,IND
IRIS_313.10785,5.0,149.0,14.0,9.9,3.6,3.6,99.0,20.0,64.0,2.1,32.0,35.0,Indonesia,SEA,JAP
IRIS_313.10786,4.0,162.0,16.0,9.4,3.3,3.0,115.0,18.0,64.0,2.0,33.0,33.0,Indonesia,SEA,ADM
IRIS_313.11362,4.0,124.0,20.0,6.7,2.3,1.1,106.0,22.0,62.0,1.1,20.0,37.0,India,SAS,ARO
IRIS_313.10754,4.0,52.0,21.0,8.1,3.1,1.4,85.0,17.0,33.0,1.5,23.0,27.0,India,SAS,IND
IRIS_313.11486,4.0,123.0,22.0,7.9,3.4,2.6,108.0,15.0,44.0,1.2,20.0,37.0,Bangladesh,SAS,IND
IRIS_313.10679,5.0,98.0,6.0,9.7,4.0,3.6,69.0,18.0,53.0,1.8,28.0,39.0,Laos,SEA,JAP
IRIS_313.11216,5.0,202.0,11.0,8.1,3.4,2.7,114.0,17.0,68.0,1.9,28.0,59.0,Bangladesh,SAS,AUS
IRIS_313.10681,5.0,117.0,16.0,9.9,3.8,4.0,117.0,18.0,55.8,1.3,23.0,63.0,Laos,SEA,IND
IRIS_313.9567,6.0,175.0,17.0,10.3,3.0,2.8,157.0,16.0,55.0,1.4,30.0,62.0,Thailand,SEA,IND
IRIS_313.11073,5.0,127.0,13.0,9.5,3.4,3.2,96.0,20.0,83.0,1.6,29.0,39.0,Laos,SEA,JAP
IRIS_313.8253,4.0,150.0,13.0,10.8,2.6,2.9,103.0,21.0,65.0,1.5,28.0,32.0,Thailand,SEA,IND
IRIS_313.11386,5.0,148.0,30.0,10.3,2.6,2.5,131.0,26.0,71.0,1.6,27.0,20.0,Thailand,SEA,IND
IRIS_313.11921,6.7,140.0,9.0,9.8,2.9,3.2,139.0,21.0,59.8,1.4,28.0,44.0,Thailand,SEA,IND
IRIS_313.9032,4.0,72.0,8.0,9.0,2.8,2.6,84.0,13.0,40.0,1.5,20.0,22.0,Thailand,SEA,IND
IRIS_313.11085,5.0,97.0,18.0,9.8,3.5,2.2,69.0,33.0,60.0,1.3,25.0,36.0,Laos,SEA,IND
IRIS_313.9281,5.0,95.0,16.0,9.4,3.0,3.3,119.0,15.0,46.0,1.3,26.0,34.0,Thailand,SEA,IND
IRIS_313.11542,5.0,134.0,17.0,7.9,3.1,2.8,128.0,30.0,53.0,1.2,24.0,38.0,Myanmar,SEA,ARO
IRIS_313.9121,5.0,160.0,18.0,10.0,3.1,3.0,132.0,24.0,60.0,1.9,28.0,30.0,Thailand,SEA,IND
IRIS_313.11074,5.0,162.0,11.0,10.1,3.1,3.0,112.0,21.0,62.0,1.7,25.0,39.0,Laos,SEA,IND
IRIS_313.9182,3.0,61.0,11.0,8.6,3.0,2.5,112.0,12.0,37.0,1.1,25.0,57.0,Myanmar,SEA,IND
IRIS_313.11075,4.0,112.0,13.0,8.8,3.8,3.2,94.0,11.0,39.0,1.2,22.0,27.0,Laos,SEA,JAP
IRIS_313.11091,4.0,135.0,18.0,10.3,3.3,2.7,78.0,33.0,69.0,1.7,29.0,44.0,Laos,SEA,IND
IRIS_313.11092,4.0,117.0,16.0,9.9,2.8,2.5,78.0,32.0,70.0,1.5,27.0,44.0,Laos,SEA,IND
IRIS_313.11194,6.0,190.0,17.0,10.4,3.1,2.5,142.0,24.0,72.0,1.6,26.0,57.0,Thailand,SEA,IND
IRIS_313.10921,5.0,102.0,14.0,9.0,3.1,2.7,84.0,25.0,45.0,1.1,26.0,54.0,Laos,SEA,IND
IRIS_313.8870,7.1,143.0,11.0,9.1,2.7,2.3,136.0,17.0,55.8,1.5,28.6,47.0,Thailand,SEA,IND
IRIS_313.9198,4.0,128.0,16.0,9.8,2.7,2.2,77.0,26.0,53.0,1.2,23.0,25.0,Laos,SEA,IND
IRIS_313.8702,7.0,143.0,18.0,8.7,2.6,2.2,139.0,18.0,66.0,1.5,27.0,37.0,Thailand,SEA,IND
IRIS_313.11962,6.9,135.0,13.0,9.9,2.5,2.8,136.0,21.0,51.0,1.4,29.4,46.0,Thailand,SEA,IND
IRIS_313.11093,4.0,102.0,10.0,9.5,4.2,3.5,91.0,25.0,53.0,2.1,29.0,46.0,Laos,SEA,JAP
IRIS_313.11086,5.0,133.0,11.0,8.9,4.1,3.1,91.0,23.0,61.0,1.9,24.0,31.0,Laos,SEA,IND
IRIS_313.8793,5.0,138.0,13.0,10.2,2.9,3.3,142.0,19.0,55.0,1.2,23.0,58.0,Myanmar,SEA,IND
IRIS_313.11831,4.7,95.0,8.0,11.3,3.8,4.4,85.0,18.0,46.8,1.6,25.2,41.0,Thailand,SEA,JAP
IRIS_313.8985,5.0,147.0,19.0,8.2,2.9,2.6,134.0,15.0,52.0,1.6,23.0,44.0,Thailand,SEA,IND
IRIS_313.11922,7.0,137.0,9.0,9.8,3.4,3.2,106.0,20.0,49.0,1.8,26.0,36.0,Thailand,SEA,JAP
IRIS_313.11923,5.7,123.0,7.0,12.4,3.5,4.4,103.0,17.0,50.0,1.5,26.0,46.0,Thailand,SEA,JAP
IRIS_313.11681,6.4,162.0,13.0,9.1,3.2,3.2,133.0,33.0,64.6,1.6,28.4,45.0,Thailand,SEA,IND
IRIS_313.10928,4.0,91.0,11.0,9.6,2.5,2.4,67.0,26.0,45.0,1.1,28.0,19.0,Thailand,SEA,IND
IRIS_313.11817,5.3,102.0,17.0,9.7,2.9,2.6,106.0,24.0,62.0,1.4,23.0,35.0,Myanmar,SEA,IND
IRIS_313.8398,4.0,68.0,17.0,8.6,3.2,2.5,70.0,9.0,34.0,0.9,19.0,47.0,Pakistan,SAS,AUS
IRIS_313.11893,5.0,122.0,17.0,8.7,3.2,2.5,99.0,19.0,61.0,0.9,24.0,51.0,Vietnam,SEA,IND
IRIS_313.11195,4.0,111.0,12.0,6.3,3.8,1.9,77.0,25.0,64.0,1.4,26.0,35.0,Myanmar,SEA,JAP
IRIS_313.10518,6.0,130.0,30.0,8.5,3.8,2.8,116.0,15.0,90.0,1.8,33.0,24.0,Myanmar,SEA,IND
IRIS_313.11363,5.0,129.0,15.0,9.2,2.8,2.2,106.0,14.0,75.0,1.6,22.0,45.0,India,SAS,IND
IRIS_313.11364,4.0,127.0,18.0,7.4,2.8,1.9,100.0,27.0,50.0,1.4,25.0,52.0,India,SAS,ADM
IRIS_313.10903,5.0,130.0,12.0,9.1,2.5,2.3,139.0,25.0,57.0,1.4,26.0,30.0,Cambodia,SEA,IND
IRIS_313.11156,4.0,78.0,10.0,8.8,2.3,2.4,88.0,10.0,34.0,0.9,25.0,27.0,India,SAS,JAP
IRIS_313.11814,6.0,137.0,19.0,11.2,2.8,3.0,136.0,19.0,66.0,1.7,28.0,52.0,Kenya,AFR,IND
IRIS_313.10952,5.0,173.0,14.0,7.9,2.9,1.9,108.0,18.0,69.0,2.2,26.0,19.0,Indonesia,SEA,JAP
IRIS_313.11780,5.0,142.0,14.0,10.6,3.1,3.2,138.0,25.0,69.0,1.6,28.0,53.0,Tanzania,AFR,IND
IRIS_313.9389,7.0,91.0,10.0,7.9,3.5,3.2,93.0,12.0,45.4,1.4,22.4,39.0,Philippines,SEA,JAP
IRIS_313.11473,4.0,90.0,13.0,8.1,4.0,2.7,112.0,8.0,43.0,1.2,31.0,42.0,Philippines,SEA,JAP
IRIS_313.10469,4.0,70.0,10.0,7.5,3.6,2.8,75.0,10.0,40.0,1.0,19.0,15.0,Japan,EAS,JAP
IRIS_313.9924,5.0,109.0,16.0,8.5,3.2,3.2,82.0,19.0,51.0,1.5,24.0,45.0,South_Korea,EAS,IND
IRIS_313.11690,4.0,99.0,9.0,7.7,2.6,2.1,82.0,10.0,30.0,1.0,19.0,38.0,Bhutan,SAS,ADM
IRIS_313.11449,4.0,128.0,10.0,7.8,2.4,1.9,125.0,13.0,43.0,0.8,24.0,41.0,India,SAS,IND
IRIS_313.9445,4.0,112.0,19.0,7.8,3.3,2.6,114.0,43.0,59.0,0.8,26.0,41.0,Bangladesh,SAS,ARO
IRIS_313.10975,5.0,168.0,13.0,8.2,3.4,2.4,104.0,23.0,56.0,1.5,29.0,35.0,Bangladesh,SAS,IND
IRIS_313.11456,3.0,92.0,15.0,9.1,2.2,1.5,84.0,16.0,40.0,1.2,24.0,43.0,India,SAS,AUS
IRIS_313.8681,6.0,80.0,17.0,7.7,2.6,2.2,148.0,36.0,53.0,1.1,29.0,28.0,Guinea,AFR,IND
IRIS_313.10929,5.0,96.0,14.0,8.2,3.1,2.7,95.0,29.0,54.0,1.5,30.0,19.0,India,SAS,IND
IRIS_313.11098,4.0,114.0,14.0,9.2,3.0,1.6,120.0,31.0,60.0,1.1,26.0,31.0,Sierra_Leone,AFR,IND
IRIS_313.11793,5.0,113.0,14.0,9.8,2.7,2.2,135.0,18.0,52.0,1.2,25.0,49.0,Madagascar,AFR,ADM
IRIS_313.11903,6.0,100.0,16.0,8.4,3.2,2.5,102.0,17.0,83.0,1.5,23.0,27.0,Indonesia,SEA,JAP
IRIS_313.11416,5.0,122.0,13.0,8.6,2.7,2.2,121.0,21.0,53.0,1.1,28.0,58.0,India,SAS,IND
IRIS_313.10557,6.0,154.0,30.0,8.4,2.9,2.8,163.0,23.0,86.0,1.5,26.0,26.0,Cambodia,SEA,IND
IRIS_313.9070,5.0,131.0,13.0,7.9,2.8,2.3,134.0,24.0,61.0,1.3,26.0,46.0,Malaysia,SEA,IND
IRIS_313.9811,4.0,52.0,12.0,9.0,3.4,3.1,70.0,11.0,30.0,0.7,17.0,34.0,Hungary,EUR,JAP
IRIS_313.9505,6.0,146.0,15.0,8.5,3.4,2.8,121.0,22.0,77.0,1.3,31.0,29.0,Philippines,SEA,IND
IRIS_313.9297,6.0,117.0,9.0,10.1,3.7,3.0,77.0,18.0,70.0,2.0,28.0,33.0,Liberia,AFR,JAP
IRIS_313.11116,5.0,126.0,14.0,9.2,3.6,2.8,103.0,24.0,67.0,1.5,28.0,37.0,Bangladesh,SAS,AUS
IRIS_313.8769,6.0,120.0,15.0,9.8,3.3,3.2,104.0,20.0,71.0,1.7,29.0,44.0,Guinea,AFR,JAP
IRIS_313.10572,6.0,140.0,20.0,7.8,3.5,2.5,116.0,17.0,74.0,1.5,22.0,27.0,Nigeria,AFR,IND
IRIS_313.10712,5.0,105.0,6.0,9.6,3.7,3.4,91.0,14.0,59.0,1.7,31.0,27.0,Ivory_Coast,AFR,JAP
IRIS_313.9002,4.0,67.0,20.0,7.8,3.5,2.6,69.0,11.0,39.0,1.1,23.0,18.0,Japan,EAS,JAP
IRIS_313.8660,5.0,109.0,16.0,7.4,3.1,2.5,78.0,15.0,53.0,1.1,21.0,51.0,Sri_Lanka,SAS,IND
IRIS_313.11524,5.0,106.0,11.0,8.9,3.0,2.3,100.0,14.0,55.0,1.7,25.0,21.0,Ivory_Coast,AFR,JAP
IRIS_313.10727,4.0,138.0,14.0,10.3,3.0,3.2,124.0,25.0,66.0,1.6,28.0,31.0,Senegal,AFR,IND
IRIS_313.8283,5.6,140.0,29.0,7.8,3.1,2.1,101.0,17.0,50.0,0.9,23.2,40.0,Bangladesh,SAS,AUS
IRIS_313.10904,5.0,127.0,21.0,8.3,2.8,1.8,100.0,19.0,64.0,1.2,26.0,30.0,Cambodia,SEA,IND
IRIS_313.9968,4.0,84.0,12.0,8.0,3.4,3.0,113.0,13.0,53.0,1.4,25.0,54.0,Sri_Lanka,SAS,IND
IRIS_313.11206,5.0,151.0,11.0,8.0,3.1,2.2,122.0,22.0,80.0,1.2,24.0,63.0,Bangladesh,SAS,IND
IRIS_313.8492,7.6,161.0,15.0,8.9,2.9,2.7,129.0,16.0,55.6,1.8,28.4,42.0,Malaysia,SEA,IND
IRIS_313.11937,5.3,62.0,15.0,8.0,3.1,2.5,83.0,19.0,41.0,1.4,23.0,24.0,India,SAS,IND
IRIS_313.10905,4.0,147.0,16.0,8.2,2.7,2.0,139.0,20.0,54.0,1.3,25.0,29.0,Cambodia,SEA,IND
IRIS_313.9861,5.0,125.0,17.0,8.9,3.3,3.5,122.0,23.0,68.0,1.2,30.0,35.0,Sri_Lanka,SAS,AUS
IRIS_313.8342,6.9,92.0,16.0,6.1,2.3,1.2,80.0,20.0,47.2,1.2,25.4,47.0,Sri_Lanka,SAS,AUS
IRIS_313.8925,4.0,107.0,16.0,8.4,3.1,2.3,96.0,19.0,53.0,1.1,23.0,62.0,Sri_Lanka,SAS,IND
IRIS_313.9174,5.0,100.0,14.0,8.2,3.4,2.6,96.0,14.0,39.0,1.3,28.0,53.0,Bangladesh,SAS,IND
IRIS_313.8723,5.0,137.0,11.0,10.1,2.7,2.0,156.0,30.0,57.0,1.5,23.0,43.0,Malaysia,SEA,IND
IRIS_313.8924,4.0,106.0,14.0,8.0,3.1,2.3,102.0,20.0,52.0,1.2,28.0,48.0,India,SAS,IND
IRIS_313.11039,4.0,50.0,12.0,7.2,3.2,2.5,70.0,10.0,36.0,1.1,23.0,29.0,China,EAS,IND
IRIS_313.10787,4.0,101.0,15.0,8.8,2.7,1.8,120.0,22.0,57.0,1.9,25.0,29.0,Indonesia,SEA,ADM
IRIS_313.11543,6.7,113.0,16.0,8.7,3.1,2.7,160.0,33.0,63.0,1.8,26.0,66.0,Myanmar,SEA,IND
IRIS_313.10082,4.0,55.0,16.0,8.0,3.0,2.9,85.0,15.0,36.0,1.0,20.0,26.0,Japan,EAS,JAP
IRIS_313.11750,6.0,82.0,12.0,8.6,2.9,2.3,91.0,15.0,45.0,1.9,21.0,33.0,China,EAS,IND
IRIS_313.11751,5.0,72.0,20.0,9.6,2.7,2.5,80.0,16.0,32.0,1.0,21.0,32.0,China,EAS,IND
IRIS_313.9547,6.0,105.0,15.0,8.9,3.0,2.8,116.0,18.0,66.0,1.7,23.0,40.0,India,SAS,IND
IRIS_313.11077,5.0,115.0,9.0,10.9,3.9,4.0,84.0,21.0,44.0,1.6,26.0,49.0,Laos,SEA,JAP
IRIS_313.11076,6.0,141.0,12.0,8.8,3.6,3.2,105.0,24.0,61.0,1.9,25.0,47.0,Laos,SEA,IND
IRIS_313.8454,5.0,118.0,20.0,8.1,3.1,2.3,87.0,20.0,48.0,1.2,27.0,21.0,Taiwan,EAS,IND
IRIS_313.11919,6.0,140.0,19.0,8.6,3.0,2.6,93.0,22.0,62.0,1.3,24.0,47.0,India,SAS,IND
IRIS_313.10976,4.0,95.0,20.0,8.4,3.2,2.5,62.0,20.0,52.0,1.1,21.0,39.0,Bangladesh,SAS,AUS
IRIS_313.11217,4.0,127.0,16.0,7.9,3.1,2.2,108.0,20.0,39.0,1.3,20.0,61.0,Bangladesh,SAS,ARO
IRIS_313.10735,5.0,106.0,16.0,8.5,2.7,2.1,77.0,10.0,52.0,1.0,22.0,26.0,Nepal,SAS,AUS
IRIS_313.11170,5.0,112.0,19.0,8.9,3.5,3.0,83.0,22.0,63.0,1.5,23.0,52.0,India,SAS,AUS
IRIS_313.11046,4.0,135.0,9.0,8.0,3.0,2.3,103.0,18.0,58.0,1.8,25.0,29.0,Malaysia,SEA,JAP
IRIS_313.11487,6.1,157.0,11.0,9.1,3.2,2.1,106.0,20.0,46.8,1.5,23.0,44.0,Bangladesh,SAS,IND
IRIS_313.11828,5.0,143.0,19.0,8.5,3.4,2.7,102.0,20.0,54.0,1.3,23.0,47.0,India,SAS,IND
IRIS_313.10010,5.0,106.0,16.0,8.0,3.1,2.2,136.0,24.0,55.0,1.4,27.0,49.0,Fiji,OCE,IND
IRIS_313.8789,4.0,111.0,19.0,8.3,3.0,2.6,74.0,20.0,61.0,1.4,21.0,56.0,Bangladesh,SAS,AUS
IRIS_313.10999,5.0,123.0,9.0,9.5,3.0,2.8,68.0,13.0,54.0,1.5,31.0,23.0,Indonesia,SEA,JAP
IRIS_313.11577,4.0,117.0,20.0,9.8,3.0,2.4,88.0,19.0,67.0,1.3,23.0,46.0,China,EAS,IND
IRIS_313.11365,5.0,128.0,18.0,8.8,3.3,2.7,111.0,15.0,58.0,1.3,28.0,38.0,India,SAS,IND
IRIS_313.10993,5.0,125.0,9.0,9.0,4.1,2.6,89.0,17.0,62.0,1.7,31.0,38.0,Philippines,SEA,JAP
IRIS_313.8568,4.0,81.0,11.0,8.2,3.0,2.1,84.0,15.0,42.0,1.0,23.0,47.0,India,SAS,IND
IRIS_313.10690,8.1,139.0,20.0,8.7,2.7,2.3,103.0,15.0,58.8,1.7,19.9,42.0,Indonesia,SEA,IND
IRIS_313.8955,5.0,140.0,17.0,8.2,3.6,2.8,102.0,19.0,80.0,1.7,26.0,45.0,Malaysia,SEA,JAP
IRIS_313.8349,6.0,138.0,16.0,8.8,3.1,2.7,152.0,17.0,50.0,1.5,27.0,69.0,Bangladesh,SAS,IND
IRIS_313.11629,4.0,82.0,17.0,8.6,2.6,2.1,88.0,14.0,50.0,1.3,27.0,36.0,Nepal,SAS,AUS
IRIS_313.11337,5.0,107.0,17.0,7.8,3.8,3.0,116.0,17.0,62.0,1.8,29.0,22.0,Philippines,SEA,JAP
IRIS_313.11417,5.0,120.0,15.0,9.6,2.5,2.0,113.0,20.0,70.0,1.6,19.0,35.0,India,SAS,ADM
IRIS_313.9129,4.0,148.0,14.0,9.1,3.0,3.1,88.0,17.0,55.0,1.9,30.0,19.0,Indonesia,SEA,JAP
IRIS_313.9791,5.0,144.0,30.0,8.4,3.1,2.9,116.0,31.0,78.0,1.2,30.0,22.0,Malawi,AFR,IND
IRIS_313.8894,6.0,113.0,20.0,9.5,2.5,1.6,120.0,21.0,69.0,1.6,29.0,30.0,Malaysia,SEA,JAP
IRIS_313.10788,4.0,165.0,12.0,8.5,3.2,2.7,106.0,18.0,56.0,1.8,34.0,36.0,Indonesia,SEA,JAP
IRIS_313.10789,4.0,175.0,12.0,9.6,3.1,3.4,106.0,17.0,64.0,1.9,33.0,37.0,Indonesia,SEA,JAP
IRIS_313.9661,4.0,85.0,14.0,7.9,3.1,2.4,80.0,19.0,44.0,1.0,21.0,36.0,Bangladesh,SAS,AUS
IRIS_313.10645,5.0,105.0,13.0,9.5,3.7,4.1,87.0,14.0,52.0,1.9,31.0,36.0,Philippines,SEA,JAP
IRIS_313.8468,5.0,160.0,31.0,7.9,2.3,1.4,155.0,16.0,54.0,1.1,26.0,28.0,Malaysia,SEA,IND
IRIS_313.10660,6.0,108.0,18.0,9.4,4.1,3.4,74.0,17.0,58.0,2.0,26.0,36.0,Laos,SEA,JAP
IRIS_313.9114,4.0,99.0,30.0,9.9,3.0,2.6,131.0,29.0,66.0,1.5,27.0,23.0,Thailand,SEA,IND
IRIS_313.8785,5.0,157.0,15.0,10.4,2.8,3.3,124.0,25.0,63.0,1.6,25.0,66.0,Thailand,SEA,IND
IRIS_313.9020,5.0,100.0,14.0,9.4,2.6,2.8,145.0,27.0,58.0,1.3,24.0,41.0,Thailand,SEA,IND
IRIS_313.8895,5.0,140.0,17.0,9.8,2.8,2.8,136.0,23.0,47.0,1.2,26.0,42.0,Thailand,SEA,IND
IRIS_313.9123,6.3,119.0,6.0,8.5,3.0,2.4,118.0,21.0,56.6,2.2,25.6,40.0,Thailand,SEA,JAP
IRIS_313.9209,6.3,183.0,22.0,8.5,2.5,2.3,149.0,21.0,57.0,1.4,25.0,42.0,Thailand,SEA,IND
IRIS_313.11710,6.7,170.0,20.0,9.8,2.7,3.1,145.0,19.0,59.0,1.7,18.0,43.0,Thailand,SEA,IND
IRIS_313.11389,5.0,181.0,15.0,10.2,2.9,2.8,128.0,20.0,75.0,1.7,23.0,69.0,Thailand,SEA,IND
IRIS_313.9406,5.0,141.0,16.0,9.3,2.5,2.7,136.0,19.0,49.0,1.3,24.0,40.0,Thailand,SEA,IND
IRIS_313.9286,5.0,148.0,11.0,9.6,2.4,2.5,107.0,24.0,60.0,1.1,24.0,48.0,Thailand,SEA,IND
IRIS_313.9116,6.0,129.0,20.0,10.0,3.0,3.0,151.0,31.0,63.0,1.4,27.0,24.0,Thailand,SEA,IND
IRIS_313.9115,5.0,111.0,20.0,9.7,2.9,2.3,131.0,29.0,62.0,1.4,24.0,22.0,Thailand,SEA,IND
IRIS_313.9119,5.0,152.0,10.0,9.3,2.8,2.7,107.0,23.0,66.0,1.7,26.0,43.0,Thailand,SEA,IND
IRIS_313.9112,6.0,144.0,30.0,9.8,2.7,2.4,131.0,22.0,71.0,1.5,27.0,24.0,Thailand,SEA,IND
IRIS_313.11838,5.3,103.0,13.0,8.7,2.5,2.4,168.0,20.0,52.0,1.3,22.0,40.0,Thailand,SEA,IND
IRIS_313.11234,5.0,100.0,12.0,10.4,2.9,2.3,97.0,19.0,49.0,1.9,27.0,40.0,Philippines,SEA,IND
IRIS_313.9558,7.0,140.0,15.0,9.7,3.5,3.0,99.0,14.0,60.0,1.8,31.0,38.0,Malaysia,SEA,JAP
IRIS_313.11381,7.0,147.0,19.0,8.4,3.0,3.6,121.0,22.0,57.0,1.7,30.0,61.0,Philippines,SEA,IND
IRIS_313.10452,6.0,93.0,20.0,7.7,3.5,2.5,81.0,21.0,56.0,1.3,25.0,25.0,China,EAS,IND
IRIS_313.10558,3.0,64.0,18.0,7.4,3.5,2.7,62.0,7.0,37.0,0.8,17.0,32.0,China,EAS,JAP
IRIS_313.11949,5.0,94.0,26.0,8.2,2.9,2.3,81.0,16.0,49.0,1.1,23.0,56.0,China,EAS,IND
IRIS_313.11868,4.0,108.0,20.0,8.3,2.8,2.2,78.0,12.0,34.0,1.2,21.0,52.0,China,EAS,IND
IRIS_313.11881,5.0,123.0,17.0,8.7,3.2,2.4,83.0,16.0,57.0,1.5,24.0,50.0,China,EAS,IND
IRIS_313.10239,6.2,100.0,27.0,8.8,3.0,2.5,73.0,18.0,44.0,1.1,29.0,38.0,China,EAS,IND
IRIS_313.11338,5.0,130.0,16.0,9.1,3.8,3.7,96.0,20.0,62.0,1.9,27.0,57.0,Philippines,SEA,IND
IRIS_313.11894,6.0,151.0,15.0,9.0,3.3,2.8,110.0,24.0,76.0,1.4,24.0,49.0,Vietnam,SEA,IND
IRIS_313.11452,4.0,85.0,13.0,9.8,3.1,1.6,72.0,14.0,54.0,1.1,26.0,43.0,India,SAS,AUS
IRIS_313.11478,5.0,94.0,14.0,9.2,3.2,2.4,88.0,11.0,53.0,1.2,29.0,39.0,India,SAS,IND
IRIS_313.9742,6.0,112.0,13.0,10.7,3.2,2.4,102.0,17.0,64.0,1.5,29.0,45.0,Madagascar,AFR,JAP
IRIS_313.10790,5.0,133.0,12.0,9.5,3.3,2.8,120.0,23.0,69.0,1.9,31.0,40.0,Indonesia,SEA,JAP
IRIS_313.8883,6.0,143.0,11.0,9.8,4.1,3.4,92.0,12.0,65.0,2.1,30.0,40.0,Malaysia,SEA,JAP
IRIS_313.11666,3.0,63.0,13.0,9.2,3.0,2.7,76.0,9.0,32.0,0.8,20.0,41.0,China,EAS,IND
IRIS_313.10659,6.0,141.0,14.0,10.7,3.5,3.5,104.0,21.0,71.0,1.9,26.0,43.0,Laos,SEA,IND
IRIS_313.11017,5.0,119.0,15.0,8.6,3.4,2.9,62.0,18.0,51.0,1.3,20.0,51.0,Bangladesh,SAS,AUS
IRIS_313.8889,5.0,113.0,23.0,8.6,2.8,2.4,81.0,21.0,45.0,1.1,22.0,46.0,China,EAS,IND
IRIS_313.10453,6.0,95.0,20.0,7.0,3.3,2.0,70.0,12.0,41.0,1.4,16.0,23.0,China,EAS,JAP
IRIS_313.9342,5.5,134.0,13.0,9.2,2.6,2.5,129.0,24.0,63.6,1.4,26.8,43.0,Vietnam,SEA,IND
IRIS_313.10751,4.0,119.0,13.0,7.8,3.1,2.5,112.0,15.0,52.0,0.9,25.0,51.0,Vietnam,SEA,IND
IRIS_313.10556,5.0,126.0,30.0,8.5,3.0,2.1,174.0,18.0,61.0,1.2,20.0,39.0,Vietnam,SEA,IND
IRIS_313.10748,4.0,120.0,21.0,8.6,2.6,2.0,69.0,20.0,57.0,1.2,22.0,34.0,Vietnam,SEA,IND
IRIS_313.10555,6.0,154.0,25.0,8.9,2.7,2.2,162.0,23.0,73.0,1.4,27.0,26.0,Vietnam,SEA,IND
IRIS_313.10906,5.0,144.0,14.0,8.6,2.5,2.7,139.0,14.0,46.0,1.1,25.0,30.0,Cambodia,SEA,IND
IRIS_313.11578,3.0,75.0,20.0,8.1,3.7,2.3,80.0,10.0,51.0,1.0,21.0,39.0,China,EAS,JAP
IRIS_313.10842,5.0,106.0,14.0,7.2,2.9,2.1,108.0,25.0,56.0,2.0,25.0,20.0,Indonesia,SEA,IND
IRIS_313.10982,5.0,129.0,13.0,7.8,3.5,2.6,109.0,21.0,56.0,1.4,28.0,29.0,Bangladesh,SAS,IND
IRIS_313.11667,3.0,47.0,13.0,8.9,3.1,2.6,72.0,6.0,27.0,1.2,17.0,33.0,China,EAS,IND
IRIS_313.11728,6.0,112.0,24.0,10.1,2.8,2.9,101.0,21.0,60.0,1.3,29.0,40.0,China,EAS,IND
IRIS_313.11133,5.0,132.0,12.0,8.2,3.8,2.7,90.0,21.0,63.0,1.9,25.0,27.0,Myanmar,SEA,IND
IRIS_313.11171,3.0,134.0,21.0,7.5,3.2,2.1,79.0,20.0,60.0,1.2,23.0,56.0,India,SAS,AUS
IRIS_313.11752,4.0,62.0,18.0,8.4,3.1,2.3,72.0,14.0,36.0,1.5,20.0,25.0,China,EAS,IND
IRIS_313.8665,4.0,51.0,19.0,8.3,3.2,2.7,77.0,11.0,32.0,0.9,16.0,34.0,United_States,AME,JAP
IRIS_313.11653,3.0,50.0,12.0,7.0,3.2,2.2,70.0,10.0,32.0,1.2,17.0,28.0,China,EAS,JAP
IRIS_313.11869,6.3,90.0,20.0,7.7,3.1,2.3,93.0,21.0,56.0,1.2,20.0,52.0,China,EAS,IND
IRIS_313.11898,7.3,168.0,11.0,9.2,3.8,3.5,109.0,20.0,64.8,1.9,26.2,43.0,Thailand,SEA,IND
IRIS_313.9243,7.4,128.0,16.0,8.2,2.9,2.6,92.0,17.0,58.0,1.5,24.6,52.0,Philippines,SEA,IND
IRIS_313.10511,6.4,155.0,12.0,9.2,2.6,2.7,127.0,21.0,75.0,1.6,24.8,44.0,Philippines,SEA,IND
IRIS_313.11467,4.0,106.0,12.0,10.1,2.9,2.7,120.0,22.0,61.0,1.3,29.0,52.0,Philippines,SEA,IND
IRIS_313.10732,4.0,138.0,19.0,8.4,2.5,2.0,105.0,27.0,66.0,1.1,31.0,30.0,Nepal,SAS,ARO
IRIS_313.11018,5.0,124.0,20.0,7.7,3.3,2.7,68.0,16.0,59.0,1.2,24.0,50.0,Bangladesh,SAS,AUS
IRIS_313.9062,7.0,151.0,14.0,8.7,3.7,3.4,135.0,20.0,58.0,1.7,25.0,40.0,Thailand,SEA,IND
IRIS_313.9575,6.0,127.0,16.0,11.3,2.9,3.3,153.0,20.0,60.0,1.3,27.0,36.0,Thailand,SEA,IND
IRIS_313.10510,5.0,140.0,15.0,7.6,2.6,2.1,120.0,21.0,51.0,1.2,30.0,36.0,Philippines,SEA,IND
IRIS_313.12275,5.3,110.0,34.0,9.3,2.8,2.5,77.0,18.0,59.0,1.1,27.0,38.0,China,EAS,IND
IRIS_313.11899,6.0,149.0,14.0,9.9,3.2,2.6,107.0,25.0,65.0,1.2,29.0,59.0,Thailand,SEA,IND
IRIS_313.11000,5.0,133.0,11.0,8.0,3.2,2.4,103.0,25.0,61.0,1.7,28.0,32.0,Indonesia,SEA,IND
IRIS_313.11094,5.0,107.0,9.0,11.1,4.1,3.6,84.0,16.0,54.0,1.6,27.0,46.0,Laos,SEA,JAP
