,CUDI_REPRO,CULT_REPRO,CUNO_REPRO,GRLT,GRWD,GRWT100,HDG_80HEAD,LIGLT,LLT,LWD,PLT_POST,SDHT,country,region,subespecie
IRIS_313.11336,5.0,121.0,16.0,8.0,3.6,2.9,96.0,14.0,54.0,1.3,22.0,49.0,Philippines,SEA,JAP
IRIS_313.10397,6.6,55.0,25.0,10.0,2.2,2.2,77.0,17.0,39.4,1.0,25.8,44.0,Colombia,AME,IND
IRIS_313.10398,4.5,65.0,20.0,9.7,2.2,2.1,76.0,15.0,35.0,0.9,25.4,45.0,Colombia,AME,IND
IRIS_313.10399,8.0,98.0,18.0,7.8,2.8,2.1,113.0,20.0,43.0,1.9,23.6,36.0,Colombia,AME,IND
IRIS_313.10400,4.9,79.0,15.0,9.1,2.3,2.1,87.0,21.0,43.0,1.2,21.0,37.0,Colombia,AME,IND
IRIS_313.10401,5.6,56.0,21.0,9.9,2.3,2.5,76.0,15.0,35.6,1.0,26.2,42.0,Colombia,AME,IND
IRIS_313.10402,6.0,73.0,17.0,8.8,2.3,2.2,95.0,16.0,38.0,1.0,23.8,40.0,Colombia,AME,IND
IRIS_313.10403,5.9,107.0,18.0,9.2,2.5,2.8,92.0,17.0,45.6,1.3,24.8,41.0,Colombia,AME,IND
IRIS_313.10301,4.5,63.0,22.0,10.0,2.4,2.1,82.0,4.0,47.4,0.5,22.8,39.0,Brazil,AME,IND
IRIS_313.9922,4.0,64.0,16.0,8.0,2.9,2.5,80.0,18.0,40.0,1.4,21.0,30.0,South_Korea,EAS,IND
IRIS_313.11432,5.0,118.0,15.0,8.7,3.2,2.4,110.0,26.0,62.0,1.4,25.0,40.0,India,SAS,IND
IRIS_313.11930,5.0,78.0,22.0,9.5,2.6,2.2,99.0,17.0,42.0,1.4,19.0,38.0,Nigeria,AFR,ADM
IRIS_313.11713,4.0,79.0,15.0,9.6,2.7,2.3,126.0,13.0,42.0,1.2,21.0,23.0,Nigeria,AFR,IND
IRIS_313.11537,5.0,123.0,13.0,8.2,3.5,2.7,84.0,14.0,45.0,1.8,20.0,45.0,Philippines,SEA,JAP
IRIS_313.11538,4.0,78.0,27.0,7.6,3.1,2.3,76.0,13.0,31.0,1.0,25.0,34.0,Philippines,SEA,IND
IRIS_313.8410,4.0,103.0,12.0,7.8,3.0,2.2,84.0,22.0,52.0,1.2,23.0,31.0,Bangladesh,SAS,AUS
IRIS_313.11627,4.0,129.0,13.0,7.2,3.2,2.7,92.0,21.0,50.0,1.3,29.0,34.0,Nepal,SAS,ARO
IRIS_313.10065,5.0,70.0,14.0,8.5,3.6,3.1,72.0,9.0,35.0,1.2,20.0,47.0,South_Korea,EAS,JAP
IRIS_313.8252,4.0,108.0,24.0,7.9,2.8,2.0,72.0,16.0,40.0,1.0,20.0,50.0,Bangladesh,SAS,AUS
IRIS_313.11360,5.0,140.0,12.0,8.2,3.0,2.5,124.0,21.0,51.0,1.6,25.0,57.0,India,SAS,ARO
IRIS_313.9449,6.0,93.0,18.0,8.9,2.8,2.4,82.0,18.0,48.0,1.1,26.0,48.0,Pakistan,SAS,AUS
IRIS_313.8815,4.0,112.0,11.0,7.7,2.9,1.9,82.0,19.0,46.0,1.3,20.0,42.0,Bhutan,SAS,JAP
IRIS_313.9251,6.3,157.0,24.0,6.8,3.0,1.9,139.0,17.0,56.0,1.7,24.0,29.0,Indonesia,SEA,IND
IRIS_313.11530,5.0,128.0,13.0,10.5,3.1,3.4,124.0,15.0,59.0,1.5,26.0,52.0,Thailand,SEA,IND
IRIS_313.8679,7.0,132.0,25.0,9.6,2.9,3.3,136.0,18.0,55.0,1.4,28.0,45.0,Thailand,SEA,IND
